genotype,fitness
000000,1.45545
000001,2.33125
000010,2.19115
000011,3.32973
000100,1.43231
000101,2.06787
000110,2.80527
000111,2.97575
001000,2.87405
001001,3.74986
001010,2.79141
001011,3.92999
001100,2.56361
001101,3.19916
001110,2.67951
001111,2.84999
010000,2.67023
010001,2.76987
010010,3.40593
010011,3.76835
010100,2.34354
010101,2.20294
010110,3.7165
010111,3.11082
011000,2.93092
011001,3.03056
011010,2.84828
011011,3.2107
011100,2.99098
011101,2.85037
011110,3.10688
011111,2.5012
100000,2.3679
100001,2.53182
100010,2.27381
100011,3.83475
100100,2.34476
100101,2.26844
100110,2.88793
100111,3.48077
101000,3.13013
101001,3.29405
101010,2.21769
101011,3.77863
101100,2.81968
101101,2.74335
101110,2.10579
101111,2.69862
110000,1.96231
110001,2.58896
110010,1.86822
110011,3.89189
110100,1.63562
110101,2.02203
110110,2.17879
110111,3.23436
111000,2.2805
111001,2.90715
111010,1.36806
111011,3.39173
111100,2.34055
111101,2.72696
111110,1.62666
111111,2.68223
